Provincia,Localidad,Municipio,Departamento,Latitud,Longitud
Buenos Aires,INGENIERO MASCHWITZ,Escobar,Escobar,-34.3790006332322,-58.7303342412363
Buenos Aires,LOMA VERDE,Escobar,Escobar,-34.3285234890863,-58.8506997728362
Buenos Aires,MATHEU,Escobar,Escobar,-34.3688779666182,-58.8402291878847
Buenos Aires,MAQUINISTA F. SAVIO ESTE,Escobar,Escobar,-34.3964888336318,-58.7629458829717
Buenos Aires,CANNING,Esteban Echeverría,Esteban Echeverría,-34.8849791351051,-58.4778099372334
Buenos Aires,EL JAGÜEL,Esteban Echeverría,Esteban Echeverría,-34.8304505041023,-58.494869419897
Buenos Aires,LUIS GUILLON,Esteban Echeverría,Esteban Echeverría,-34.800196435999,-58.4530964052639
Buenos Aires,MONTE GRANDE,Esteban Echeverría,Esteban Echeverría,-34.8191368630736,-58.4726947603508
Buenos Aires,9 DE ABRIL,Esteban Echeverría,Esteban Echeverría,-34.7565075768115,-58.4902923509723
Buenos Aires,ARROYO DE LA CRUZ,Exaltación de la Cruz,Exaltación de la Cruz,-34.3363786908945,-59.1094149717708
Buenos Aires,CAPILLA DEL SE¥OR,Exaltación de la Cruz,Exaltación de la Cruz,-34.2912108668035,-59.1015232724441
Buenos Aires,DIEGO GAYNOR,Exaltación de la Cruz,Exaltación de la Cruz,-34.288973975279,-59.222781222713
Buenos Aires,LOS CARDALES,Exaltación de la Cruz,Exaltación de la Cruz,-34.3300736993853,-58.9885651588167
Buenos Aires,PARADA ORLANDO,Exaltación de la Cruz,Exaltación de la Cruz,-34.3273003551547,-59.0759905460338
Buenos Aires,EL REMANSO,Exaltación de la Cruz,Exaltación de la Cruz,-34.4149477393736,-59.086281182388
Buenos Aires,PARADA ROBLES,Exaltación de la Cruz,Exaltación de la Cruz,-34.3736266959435,-59.139354021597
Buenos Aires,PAVON,Exaltación de la Cruz,Exaltación de la Cruz,-34.3581118951493,-59.0310010709452
